Type,Value,Source,Threat_Category,Date
url,https://www.retiremepaul.com/profileLayout,ThreatFox API,botnet_cc,2025-04-29 13:18:56 UTC
domain,www.retiremepaul.com,ThreatFox API,botnet_cc,2025-04-29 13:09:32 UTC
domain,carodine.net,ThreatFox API,payload_delivery,2025-04-29 13:09:07 UTC
url,https://carodine.net/wp-content/core.zip,ThreatFox API,payload_delivery,2025-04-29 13:09:06 UTC
url,https://amxdh1.icu/ifh/lll.php,ThreatFox API,payload_delivery,2025-04-29 13:09:05 UTC
url,https://amxdh1.icu/ifh/select.js,ThreatFox API,payload_delivery,2025-04-29 13:09:03 UTC
url,https://amxdh1.icu/ifh/min.js,ThreatFox API,payload_delivery,2025-04-29 13:09:02 UTC
domain,amxdh1.icu,ThreatFox API,payload_delivery,2025-04-29 13:09:02 UTC
domain,runolfsdotoir.top,ThreatFox API,payload_delivery,2025-04-29 13:08:11 UTC
domain,datawavej.digital,ThreatFox API,botnet_cc,2025-04-29 13:00:53 UTC
domain,corexlaib.top,ThreatFox API,botnet_cc,2025-04-29 13:00:52 UTC
domain,techchaiun.live,ThreatFox API,botnet_cc,2025-04-29 13:00:51 UTC
domain,datamanipy.run,ThreatFox API,botnet_cc,2025-04-29 13:00:50 UTC
url,http://1.15.62.170:8888/supershell/login/,ThreatFox API,botnet_cc,2025-04-29 13:00:06 UTC
url,http://47.97.42.177:8888/supershell/login/,ThreatFox API,botnet_cc,2025-04-29 13:00:04 UTC
ip:port,18.212.130.9:4000,ThreatFox API,botnet_cc,2025-04-29 12:59:28 UTC
domain,srndp.press,ThreatFox API,payload_delivery,2025-04-29 12:49:57 UTC
domain,marinescoatsnow.click,ThreatFox API,payload_delivery,2025-04-29 12:44:05 UTC
ip:port,185.39.17.103:443,ThreatFox API,payload_delivery,2025-04-29 12:44:05 UTC
domain,organicflowers.site,ThreatFox API,payload_delivery,2025-04-29 12:09:48 UTC
ip:port,88.214.48.111:483,ThreatFox API,botnet_cc,2025-04-29 12:02:54 UTC
ip:port,23.227.199.118:45677,ThreatFox API,botnet_cc,2025-04-29 12:02:00 UTC
domain,attt.shop,ThreatFox API,botnet_cc,2025-04-29 12:01:59 UTC
ip:port,102.117.169.90:7443,ThreatFox API,botnet_cc,2025-04-29 12:01:55 UTC
ip:port,94.156.177.241:8808,ThreatFox API,botnet_cc,2025-04-29 12:01:50 UTC
ip:port,82.223.48.201:7707,ThreatFox API,botnet_cc,2025-04-29 12:01:50 UTC
ip:port,103.233.8.46:31337,ThreatFox API,botnet_cc,2025-04-29 12:01:26 UTC
ip:port,185.26.236.38:443,ThreatFox API,botnet_cc,2025-04-29 12:01:25 UTC
ip:port,148.66.16.227:80,ThreatFox API,botnet_cc,2025-04-29 12:01:08 UTC
ip:port,148.66.16.229:443,ThreatFox API,botnet_cc,2025-04-29 12:01:08 UTC
ip:port,43.242.201.14:9999,ThreatFox API,botnet_cc,2025-04-29 12:01:06 UTC
ip:port,82.29.71.56:80,ThreatFox API,botnet_cc,2025-04-29 12:01:05 UTC
url,https://techcastlev.live/kghk,ThreatFox API,botnet_cc,2025-04-29 11:51:07 UTC
url,https://bardsyies.live/xzpd,ThreatFox API,botnet_cc,2025-04-29 11:50:30 UTC
url,https://805longitudde.digital/wizu,ThreatFox API,botnet_cc,2025-04-29 11:50:25 UTC
domain,swordandsr.digital,ThreatFox API,botnet_cc,2025-04-29 11:47:24 UTC
domain,botflowe.digital,ThreatFox API,botnet_cc,2025-04-29 11:47:24 UTC
domain,medievaltao.digital,ThreatFox API,botnet_cc,2025-04-29 11:47:24 UTC
domain,aquilaew.digital,ThreatFox API,botnet_cc,2025-04-29 11:47:23 UTC
domain,battloeaxes.digital,ThreatFox API,botnet_cc,2025-04-29 11:47:22 UTC
domain,enchanyo.digital,ThreatFox API,botnet_cc,2025-04-29 11:47:22 UTC
domain,wizardrry.digital,ThreatFox API,botnet_cc,2025-04-29 11:47:22 UTC
domain,romulusy.digital,ThreatFox API,botnet_cc,2025-04-29 11:47:21 UTC
