Type,Value,Source,Threat_Category,Date
domain,check.rulix.icu,ThreatFox API,payload_delivery,2025-04-16 13:31:43 UTC
ip:port,194.87.73.218:443,ThreatFox API,botnet_cc,2025-04-16 13:30:46 UTC
url,https://signin.certifiedbk.com/profileLayout,ThreatFox API,botnet_cc,2025-04-16 13:30:45 UTC
domain,signin.certifiedbk.com,ThreatFox API,botnet_cc,2025-04-16 13:10:21 UTC
domain,gregenearthjourney.live,ThreatFox API,botnet_cc,2025-04-16 12:58:34 UTC
domain,ridgeviemme.live,ThreatFox API,botnet_cc,2025-04-16 12:58:33 UTC
domain,zpawsandplay.live,ThreatFox API,botnet_cc,2025-04-16 12:58:33 UTC
domain,farmerpreneur.live,ThreatFox API,botnet_cc,2025-04-16 12:58:33 UTC
domain,iqnterstellles.live,ThreatFox API,botnet_cc,2025-04-16 12:58:33 UTC
domain,animalantpics.live,ThreatFox API,botnet_cc,2025-04-16 12:58:33 UTC
domain,flwuffyfriends.live,ThreatFox API,botnet_cc,2025-04-16 12:58:33 UTC
domain,datafhgorge.live,ThreatFox API,botnet_cc,2025-04-16 12:58:33 UTC
domain,chemcryexplore.live,ThreatFox API,botnet_cc,2025-04-16 12:58:33 UTC
domain,infotechizone.live,ThreatFox API,botnet_cc,2025-04-16 12:58:33 UTC
domain,westrosei.live,ThreatFox API,botnet_cc,2025-04-16 12:58:32 UTC
domain,homesteadingjourney.world,ThreatFox API,botnet_cc,2025-04-16 12:58:32 UTC
domain,labupfdates.world,ThreatFox API,botnet_cc,2025-04-16 12:58:32 UTC
url,https://check.zaxys.icu/gkcxv.google,ThreatFox API,payload_delivery,2025-04-16 12:54:54 UTC
domain,helloworld-aogxlrocvl.cn-hangzhou.fcapp.run,ThreatFox API,botnet_cc,2025-04-16 12:54:21 UTC
domain,check.zaxys.icu,ThreatFox API,payload_delivery,2025-04-16 12:51:32 UTC
ip:port,166.78.199.87:443,ThreatFox API,botnet_cc,2025-04-16 12:42:50 UTC
domain,evcomplexsolution.com,ThreatFox API,payload_delivery,2025-04-16 12:39:35 UTC
domain,navitide.se,ThreatFox API,payload_delivery,2025-04-16 12:39:35 UTC
domain,gizasia.com,ThreatFox API,payload_delivery,2025-04-16 12:39:35 UTC
domain,sat-nam.cl.digitalid.cl,ThreatFox API,payload_delivery,2025-04-16 12:39:35 UTC
domain,primepestandclean.com.au.desibusiness.com.au,ThreatFox API,payload_delivery,2025-04-16 12:39:35 UTC
domain,www.ozimmi.desibusiness.com.au,ThreatFox API,payload_delivery,2025-04-16 12:39:35 UTC
domain,athleticalsportsinternational.com,ThreatFox API,payload_delivery,2025-04-16 12:39:35 UTC
domain,craekuro.duckdns.org,ThreatFox API,botnet_cc,2025-04-16 12:11:05 UTC
ip:port,172.111.213.197:1950,ThreatFox API,botnet_cc,2025-04-16 12:11:04 UTC
ip:port,18.198.77.177:14219,ThreatFox API,botnet_cc,2025-04-16 12:11:02 UTC
ip:port,35.158.159.254:14219,ThreatFox API,botnet_cc,2025-04-16 12:11:01 UTC
ip:port,18.157.68.73:16744,ThreatFox API,botnet_cc,2025-04-16 12:11:01 UTC
domain,static-host210-2-169-213.link.net.pk,ThreatFox API,botnet_cc,2025-04-16 12:02:51 UTC
ip:port,96.126.124.158:80,ThreatFox API,botnet_cc,2025-04-16 12:02:49 UTC
ip:port,176.65.137.229:8082,ThreatFox API,botnet_cc,2025-04-16 12:02:33 UTC
